file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-12.00,12.00-13.00,13.00-13.94,12.00-12.36,11.00-11.06,13.00-14.00,14.00-14.70,13.00-13.96,13.00-13.98,14.00-14.20,14.00-14.40,14.00-14.16,13.00-13.78,11.00-11.03,14.00-15.00,15.00-16.00,16.00-16.50,13.00-13.95
iperf3_result_20231019171907.txt,0.00bits/sec,8.14Mbits/sec,8.66Mbits/sec,10.0Mbits/sec,7.17Mbits/sec,6.59Mbits/sec,10.3Mbits/sec,9.26Mbits/sec,9.24Mbits/sec,9.19Mbits/sec,10.4Mbits/sec,>= 11.00,116Kbits/sec,0.00bits/sec,,,,0.00bits/sec,,,,,,,,,,,,
iperf3_result_20231019171446.txt,0.00bits/sec,9.21Mbits/sec,8.04Mbits/sec,6.46Mbits/sec,5.56Mbits/sec,4.07Mbits/sec,2.61Mbits/sec,1.61Mbits/sec,730Kbits/sec,429Kbits/sec,151Kbits/sec,>= 11.00,11.6Kbits/sec,0.00bits/sec,,,,0.00bits/sec,,,,,,,,,,,,
iperf3_result_20231019172615.txt,0.00bits/sec,9.89Mbits/sec,9.79Mbits/sec,9.23Mbits/sec,9.46Mbits/sec,9.05Mbits/sec,8.09Mbits/sec,8.65Mbits/sec,9.19Mbits/sec,9.55Mbits/sec,9.68Mbits/sec,>= 11.00,34.7Kbits/sec,0.00bits/sec,,,,0.00bits/sec,,,,,,,,,,,,
iperf3_result_20231019173127.txt,78.9Mbits/sec,79.0Mbits/sec,83.1Mbits/sec,80.4Mbits/sec,76.4Mbits/sec,81.2Mbits/sec,82.9Mbits/sec,82.4Mbits/sec,82.4Mbits/sec,77.7Mbits/sec,87.5Mbits/sec,10.29,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172952.txt,65.7Mbits/sec,76.0Mbits/sec,70.7Mbits/sec,69.9Mbits/sec,67.4Mbits/sec,59.6Mbits/sec,56.3Mbits/sec,87.8Mbits/sec,90.2Mbits/sec,84.5Mbits/sec,85.4Mbits/sec,10.23,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172013.txt,0.00bits/sec,5.89Mbits/sec,7.59Mbits/sec,7.10Mbits/sec,5.54Mbits/sec,4.68Mbits/sec,3.78Mbits/sec,3.20Mbits/sec,2.27Mbits/sec,1.47Mbits/sec,1.13Mbits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,,,,,,,,,,0.00bits/sec,,,,,
iperf3_result_20231019172210.txt,0.00bits/sec,8.44Mbits/sec,7.93Mbits/sec,8.38Mbits/sec,9.93Mbits/sec,8.98Mbits/sec,9.95Mbits/sec,8.84Mbits/sec,8.47Mbits/sec,9.27Mbits/sec,7.48Mbits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,,,0.00bits/sec,,,,,,,,,,,,
iperf3_result_20231019173250.txt,77.7Mbits/sec,81.0Mbits/sec,79.8Mbits/sec,81.7Mbits/sec,76.8Mbits/sec,76.2Mbits/sec,77.5Mbits/sec,87.5Mbits/sec,89.2Mbits/sec,89.7Mbits/sec,76.7Mbits/sec,10.07,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171653.txt,0.00bits/sec,7.38Mbits/sec,8.64Mbits/sec,9.19Mbits/sec,10.2Mbits/sec,9.74Mbits/sec,9.74Mbits/sec,9.41Mbits/sec,10.1Mbits/sec,8.04Mbits/sec,9.72Mbits/sec,>= 11.00,23.2Kbits/sec,0.00bits/sec,,,,0.00bits/sec,,,,,,,,,,,,
iperf3_result_20231019173332.txt,79.7Mbits/sec,82.3Mbits/sec,82.0Mbits/sec,82.9Mbits/sec,80.1Mbits/sec,82.1Mbits/sec,76.1Mbits/sec,82.1Mbits/sec,70.6Mbits/sec,84.9Mbits/sec,75.8Mbits/sec,10.27,,,,,,,,,,,,,,,,,,
