file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.05,11.00-11.06,11.00-11.26,11.00-11.16,11.00-11.13,11.00-11.01,11.00-11.07,11.00-11.03,11.00-11.17,11.00-11.04,11.00-11.51,11.00-11.36,11.00-11.47,11.00-11.23,11.00-11.02,11.00-11.09
iperf3_result_20231019182306.txt,7.81MBytes,10.7MBytes,10.4MBytes,9.86MBytes,10.5MBytes,10.9MBytes,10.8MBytes,11.4MBytes,11.2MBytes,11.4MBytes,11.5MBytes,10.96,,,,,,,,,,,,,,,,
iperf3_result_20231019182851.txt,4.50MBytes,5.37MBytes,5.45MBytes,5.35MBytes,5.76MBytes,5.73MBytes,5.41MBytes,5.79MBytes,5.79MBytes,5.96MBytes,4.83MBytes,>= 11.00,,,,,,,,,1.12MBytes,,,,,,,
iperf3_result_20231019183540.txt,6.23MBytes,6.73MBytes,6.18MBytes,6.34MBytes,5.50MBytes,6.55MBytes,5.64MBytes,6.10MBytes,6.26MBytes,6.21MBytes,6.10MBytes,10.98,,,,,,,,,,,,,,,,
iperf3_result_20231019183434.txt,6.08MBytes,5.87MBytes,5.71MBytes,5.76MBytes,5.82MBytes,6.21MBytes,6.17MBytes,5.94MBytes,6.57MBytes,5.90MBytes,6.13MBytes,10.99,,,,,,,,,,,,,,,,
iperf3_result_20231019183805.txt,6.04MBytes,6.40MBytes,6.37MBytes,6.05MBytes,6.26MBytes,6.54MBytes,5.94MBytes,6.25MBytes,6.23MBytes,6.36MBytes,5.92MBytes,>= 11.00,,,,,,,,,,262KBytes,,,,,,
iperf3_result_20231019183636.txt,5.72MBytes,6.27MBytes,6.13MBytes,6.33MBytes,6.15MBytes,5.98MBytes,6.10MBytes,6.39MBytes,4.03MBytes,2.41MBytes,3.10MBytes,>= 11.00,,,,,,,,,,,2.90MBytes,,,,,
iperf3_result_20231019182510.txt,4.96MBytes,5.92MBytes,5.99MBytes,6.14MBytes,6.03MBytes,6.17MBytes,6.28MBytes,6.23MBytes,6.63MBytes,6.42MBytes,6.41MBytes,10.99,,,,,,,,,,,,,,,,
iperf3_result_20231019182712.txt,4.87MBytes,5.57MBytes,5.92MBytes,6.15MBytes,6.24MBytes,6.24MBytes,6.20MBytes,5.90MBytes,5.66MBytes,5.97MBytes,6.32MBytes,>= 11.00,,,,,,,,,,,,,,,,
iperf3_result_20231019182935.txt,4.53MBytes,5.73MBytes,5.64MBytes,5.85MBytes,5.91MBytes,5.85MBytes,6.16MBytes,5.97MBytes,5.39MBytes,6.12MBytes,6.10MBytes,10.98,,,,,,,,,,,,,,,,
iperf3_result_20231019183008.txt,5.20MBytes,5.49MBytes,5.25MBytes,5.57MBytes,5.67MBytes,5.52MBytes,5.16MBytes,4.92MBytes,5.91MBytes,5.80MBytes,6.15MBytes,10.99,,,,,,,,,,,,,,,,
iperf3_result_20231019182317.txt,9.37MBytes,10.5MBytes,10.6MBytes,11.0MBytes,10.2MBytes,11.0MBytes,10.8MBytes,10.3MBytes,11.1MBytes,11.5MBytes,11.4MBytes,10.95,,,,,,,,,,,,,,,,
iperf3_result_20231019182459.txt,4.73MBytes,5.40MBytes,4.49MBytes,5.52MBytes,5.78MBytes,5.74MBytes,5.47MBytes,5.74MBytes,5.49MBytes,5.47MBytes,5.87MBytes,>= 11.00,,,,,,168KBytes,,,,,,,,,,
iperf3_result_20231019182840.txt,5.07MBytes,5.39MBytes,5.65MBytes,5.67MBytes,5.86MBytes,5.63MBytes,5.87MBytes,6.23MBytes,6.13MBytes,6.16MBytes,5.97MBytes,10.94,,,,,,,,,,,,,,,,
iperf3_result_20231019183551.txt,5.99MBytes,6.40MBytes,6.35MBytes,6.36MBytes,6.12MBytes,6.45MBytes,6.20MBytes,6.30MBytes,6.61MBytes,6.06MBytes,3.53MBytes,>= 11.00,,,,,,,,,,,,2.33MBytes,,,,
iperf3_result_20231019183625.txt,6.18MBytes,6.34MBytes,6.36MBytes,6.60MBytes,6.46MBytes,6.70MBytes,5.45MBytes,6.42MBytes,6.31MBytes,6.38MBytes,6.10MBytes,10.98,,,,,,,,,,,,,,,,
iperf3_result_20231019183816.txt,5.57MBytes,6.17MBytes,6.20MBytes,5.71MBytes,6.31MBytes,6.17MBytes,6.10MBytes,5.74MBytes,6.26MBytes,6.49MBytes,5.16MBytes,>= 11.00,,,,957KBytes,,,,,,,,,,,,
iperf3_result_20231019183221.txt,4.60MBytes,5.27MBytes,5.81MBytes,5.31MBytes,5.90MBytes,5.96MBytes,6.18MBytes,5.74MBytes,6.15MBytes,5.92MBytes,3.08MBytes,>= 11.00,,,,,,,,,,,,,2.98MBytes,,,
iperf3_result_20231019182328.txt,9.98MBytes,11.0MBytes,11.7MBytes,9.00MBytes,11.7MBytes,11.8MBytes,11.6MBytes,11.8MBytes,11.5MBytes,10.6MBytes,8.07MBytes,10.70,,,,,,,,,,,,,,,,
iperf3_result_20231019183210.txt,5.24MBytes,5.77MBytes,5.97MBytes,5.23MBytes,5.51MBytes,5.26MBytes,6.00MBytes,5.70MBytes,5.78MBytes,5.94MBytes,5.89MBytes,>= 11.00,,,,,,,,,,218KBytes,,,,,,
iperf3_result_20231019182913.txt,5.10MBytes,5.80MBytes,6.60MBytes,6.46MBytes,6.55MBytes,6.54MBytes,6.31MBytes,6.82MBytes,6.25MBytes,6.61MBytes,5.76MBytes,10.94,,,,,,,,,,,,,,,,
iperf3_result_20231019182734.txt,5.91MBytes,5.62MBytes,6.38MBytes,6.00MBytes,6.39MBytes,6.24MBytes,6.37MBytes,6.49MBytes,6.45MBytes,6.07MBytes,6.23MBytes,10.96,,,,,,,,,,,,,,,,
